Date,Time,Well Name,Seating Nipple Depth (ft),Plunger Diameter (in),ACU Acoustic Velocity (ft/s),ACU Tubing Pressure (psi (g)),Back Pressure (psi (g)),Back Pressure on Formation Due to Liquid Loading (psi (g)),Gas Free Above Pump (ft),Fluid Above Pump (ft),Distance to Liquid (ft),Well State,ACU Casing Pressure (psi (g)),Strokes Per Minute (SPM),Computed Stroke Length (in),Effective Plunger Travel (in),Maximum Plunger Stroke (in),Adjusted EPT (in)
07/24/2024,03:55:11 PM,CMWW #1,5956,1.500,,,,,,,,,,5.12,97.96,24.77,91.31,4.1
07/24/2024,03:57:14 PM,CMWW #1,5956,1.500,1103,,,1171.6,15,68,5888,Producing,71.7,,,,,
08/13/2024,04:51:53 PM,CMWW #1,5956,1.500,,,,,,,,,,5.58,100.89,47.82,89.74,28.9
08/13/2024,04:53:24 PM,CMWW #1,5956,1.500,1111,,,1163.0,116,578,5379,Producing,69.3,,,,,
08/20/2024,05:49:07 PM,CMWW #1,6514,1.250,927,,,,621,621,5893,Static,3.3,,,,,
01/27/2025,10:03:59 AM,CMWW #1,6514,1.250,,,,,,,,,,6.89,100.80,29.84,92.70,11.3
01/27/2025,10:15:16 AM,CMWW #1,6514,1.250,1145,,,,0,0,6670,Static,61.3,,,,,
10/29/2024,02:21:20 PM,CMWW #2,6094,1.500,1199,,,,1715,1715,4220,Static,52.2,,,,,
11/01/2024,11:19:37 AM,CMWW #2,6094,1.500,,,,,,,,,,4.71,122.16,45.43,120.72,0.1
11/01/2024,11:35:00 AM,CMWW #2,6094,1.500,1173,,,265.2,823,2702,3233,Producing,35.9,,,,,
11/04/2024,09:42:34 AM,CMWW #2,6094,1.500,1156,,,253.8,787,2576,3359,Producing,29.9,,,,,
11/04/2024,09:48:01 AM,CMWW #2,6094,1.500,,,,,,,,,,4.98,123.24,33.72,115.08,0.1
11/11/2024,10:56:31 AM,CMWW #2,6094,1.500,,,,,,,,,,5.06,122.13,27.16,113.29,0.1
11/11/2024,11:11:03 AM,CMWW #2,6094,1.500,1166,,,240.4,746,2261,3674,Producing,26.5,,,,,
12/02/2024,11:43:21 AM,CMWW #2,6094,1.500,1156,,,210.5,657,2377,3558,Producing,27.4,,,,,
12/09/2024,01:25:10 PM,CMWW #2,6094,1.500,,,,,,,,,,5.84,122.54,107.00,110.47,98.4
12/09/2024,01:37:48 PM,CMWW #2,6094,1.500,1014,,,131.6,460,2120,3815,Producing,160.3,,,,,
03/07/2024,03:22:28 PM,CT #1,6039,1.500,,,,,,,,,,5.28,123.58,73.77,114.98,57.5
03/07/2024,03:25:06 PM,CT #1,6039,1.500,1147,,,163.0,381,2035,4004,Producing,81.9,,,,,
03/07/2024,03:43:41 PM,CT #1,6039,1.500,,,,,,,,,,,,,,
03/07/2024,03:48:44 PM,CT #1,6039,1.500,,,,,,,,,,5.78,123.42,27.39,113.12,11.6
03/29/2024,02:39:20 PM,CT #1,6039,1.500,,,,,,,,,,6.62,124.16,0.00,119.52,0.1
03/29/2024,02:41:45 PM,CT #1,6039,1.500,1134,,,26.4,28,137,5901,Producing,145.5,,,,,
03/29/2024,02:41:45 PM,
08/14/2024,04:23:25 PM,CT #1,6039,1.500,,,,,,,,,,7.33,124.47,23.12,116.16,0.1
08/14/2024,04:28:14 PM,CT #1,6039,1.500,1122,,,72.3,79,409,5629,Producing,61.9,,,,,
08/14/2024,04:35:10 PM,CT #1,6039,1.500,,,,,,,,,,6.67,124.10,72.79,120.88,61.3
08/14/2024,04:42:24 PM,CT #1,6039,1.500,,,,,,,,,,6.33,124.82,27.06,118.17,0.1
01/27/2025,11:08:14 AM,CT #1,6039,1.250,,,,,,,,,,5.22,123.91,28.09,117.95,19.5
01/27/2025,11:22:53 AM,CT #1,6039,1.250,1135,,,70.5,43,206,5833,Producing,41.4,,,,,
03/07/2024,09:43:42 AM,Dale#1,6588,1.250,1075,,,78.6,56,157,6342,Producing,17.9,,,,,
05/24/2024,10:37:21 AM,Dale#1,6588,1.250,1045,,,,172,172,6327,Static,-0.8,,,,,
08/20/2024,09:36:43 AM,Dale#1,6588,1.250,1192,,,,0,0,7025,Static,75.2,,,,,
08/20/2024,09:59:46 AM,
08/20/2024,09:59:46 AM,Dale#1,6588,1.250,500,,,,2132,2132,4366,Static,6.6,,,,,
08/20/2024,09:59:46 AM,
08/20/2024,09:59:46 AM,
08/20/2024,10:16:59 AM,Dale#1,6588,1.250,,,,,,,,,,6.78,71.81,73.83,74.15,71.8
10/08/2024,10:31:51 AM,Dale#1,7187,1.250,,,,,,,,,,6.51,71.84,48.52,74.12,0.1
10/08/2024,10:35:13 AM,Dale#1,7187,1.250,1138,,,,19,19,6632,Static,35.6,,,,,
12/04/2024,01:08:48 PM,Dale#1,7187,1.250,,,,,,,,,,7.05,71.22,73.51,77.62,64.6
12/04/2024,01:22:31 PM,Dale#1,7187,1.250,1172,,,,297,297,6225,Static,2.8,,,,,
08/19/2024,02:35:14 PM,Dillard #1,6305,0.000,,,,,,,,,,,,,,
08/19/2024,02:42:57 PM,Dillard #1,6305,0.000,,,,,,,,,,,,,,
08/19/2024,03:05:28 PM,Dillard #1,6305,0.000,,,,,,,,,,,,,,
08/19/2024,03:25:01 PM,Dillard #1,6305,0.000,,,,,,,,,,,,,,
08/19/2024,03:34:28 PM,Dillard #1,6305,0.000,,,,,,,,,,,,,,
08/19/2024,03:48:03 PM,Dillard #1,6305,0.000,,,,,,,,,,,,,,
04/12/2024,10:38:17 AM,Dixondale #1,5403,1.750,1183,,,,3479,3479,1924,Static,75.8,,,,,
04/12/2024,11:13:58 AM,Dixondale #1,5403,1.750,,,,,,,,,,5.56,168.81,163.59,165.28,150.0
04/17/2024,11:10:54 AM,Dixondale #1,5403,1.750,,,,,,,,,,5.23,168.44,166.43,168.04,113.9
04/17/2024,11:25:52 AM,Dixondale #1,5403,1.750,1180,,,681.8,1348,3970,1433,Producing,68.3,,,,,
04/22/2024,07:57:04 AM,Dixondale #1,5403,1.750,,,,,,,,,,5.67,169.31,170.17,172.18,163.2
04/22/2024,08:12:20 AM,
04/22/2024,08:12:20 AM,Dixondale #1,5403,1.750,1242,,,1391.9,2986,3605,1798,Producing,118.7,,,,,
04/25/2024,12:38:41 PM,Dixondale #1,5403,1.750,,,,,,,,,,5.91,169.28,168.64,169.30,169.1
04/25/2024,12:40:56 PM,Dixondale #1,5403,1.750,1227,,,973.0,2053,3874,1529,Producing,143.6,,,,,
04/25/2024,12:56:45 PM,Dixondale #1,5403,1.750,,,,,,,,,,6.25,167.44,167.61,169.93,120.6
05/21/2024,03:34:29 PM,Dixondale #1,5403,1.750,1199,,,,2450,2450,2953,Static,305.0,,,,,
05/21/2024,03:49:55 PM,Dixondale #1,5403,1.750,,,,,,,,,,6.79,169.37,165.17,168.59,146.5
05/21/2024,03:55:07 PM,Dixondale #1,5403,1.750,,,,,,,,,,6.82,168.20,165.89,168.86,152.2
05/23/2024,12:37:25 PM,Dixondale #1,5403,1.750,,,,,,,,,,6.87,168.36,157.16,166.41,96.4
05/23/2024,12:40:48 PM,Dixondale #1,5403,1.750,1205,,,1061.5,2127,2901,2502,Producing,235.6,,,,,
05/23/2024,12:42:34 PM,Dixondale #1,5403,1.750,,,,,,,,,,7.51,168.21,161.83,168.01,128.8
05/23/2024,12:50:32 PM,Dixondale #1,5403,1.750,1204,,,1060.9,2121,2880,2523,Producing,235.4,,,,,
05/31/2024,09:54:34 AM,Dixondale #1,5403,1.750,,,,,,,,,,6.35,168.96,160.83,166.59,146.5
05/31/2024,10:09:30 AM,Dixondale #1,5403,1.750,1204,,,641.3,1359,4120,1282,Producing,281.8,,,,,
07/25/2024,06:09:36 PM,Dixondale #1,5403,1.750,,,,,,,,,,5.86,167.82,158.10,163.36,150.3
07/25/2024,06:11:36 PM,Dixondale #1,5403,1.750,1212,,,492.4,1052,4396,1007,Producing,346.9,,,,,
07/25/2024,06:18:29 PM,Dixondale #1,5403,1.750,,,,,,,,,,6.53,168.09,159.94,166.88,147.1
08/15/2024,01:37:53 PM,Dixondale #1,5403,1.750,,,,,,,,,,6.51,167.59,143.38,160.78,114.7
08/15/2024,01:52:10 PM,
08/15/2024,01:52:10 PM,Dixondale #1,5403,1.750,1135,,,524.4,930,3152,2251,Producing,78.5,,,,,
08/15/2024,01:56:52 PM,Dixondale #1,5403,1.750,,,,,,,,,,6.83,168.69,150.89,163.69,110.7
09/10/2024,11:08:04 AM,Dixondale #1,5403,1.750,,,,,,,,,,5.55,169.55,91.68,161.57,40.5
09/10/2024,11:21:02 AM,Dixondale #1,5403,1.750,1086,,,594.9,824,1519,3884,Producing,48.8,,,,,
10/07/2024,04:24:27 PM,Dixondale #1,5403,1.750,,,,,,,,,,7.16,169.18,49.86,163.07,0.2
10/07/2024,04:25:54 PM,Dixondale #1,5403,1.750,1122,,,388.4,649,3044,2359,Producing,139.8,,,,,
03/27/2024,10:51:54 AM,Drinkard#1,5604,1.750,,,,,,,,,,6.56,119.35,100.37,102.63,94.9
03/27/2024,10:53:49 AM,Drinkard#1,5604,1.750,1120,,,847.5,1601,2369,3235,Producing,26.5,,,,,
04/01/2024,10:56:28 AM,Drinkard#1,5604,1.750,,,,,,,,,,7.07,119.72,100.79,103.42,94.9
04/01/2024,11:00:51 AM,Drinkard#1,5604,1.750,1117,,,483.0,1019,4944,659,Producing,71.8,,,,,
04/25/2024,11:28:33 AM,Drinkard#1,5604,1.750,,,,,,,,,,6.89,119.78,101.70,104.21,96.2
04/25/2024,11:30:27 AM,Drinkard#1,5604,1.750,1124,,,286.8,398,1946,3658,Producing,37.7,,,,,
04/25/2024,11:32:01 AM,Drinkard#1,5604,1.750,,,,,,,,,,7.14,119.53,95.45,101.22,89.0
06/13/2024,03:09:24 PM,Drinkard#1,5604,1.750,,,,,,,,,,6.20,118.37,100.79,102.66,93.9
06/13/2024,03:11:38 PM,Drinkard#1,5604,1.750,1140,,,225.0,167,657,4947,Producing,62.6,,,,,
06/24/2024,01:16:31 PM,Drinkard#1,5604,1.750,1187,,,892.1,1396,1396,4208,Producing,16.3,,,,,
07/25/2024,12:49:11 PM,Drinkard#1,5604,1.750,,,,,,,,,,5.57,120.23,59.43,106.91,38.5
07/25/2024,12:51:00 PM,Drinkard#1,5604,1.750,1138,,,215.9,165,688,4916,Producing,97.0,,,,,
08/13/2024,03:09:36 PM,Drinkard#1,5604,1.750,1071,,,,1069,1069,4535,Static,10.6,,,,,
08/13/2024,03:11:51 PM,Drinkard#1,5604,1.750,1083,,,,1016,1016,4588,Static,10.9,,,,,
08/13/2024,03:15:54 PM,Drinkard#1,5604,1.750,,,,,,,,,,4.36,119.99,92.40,99.03,83.6
08/20/2024,04:08:20 PM,Drinkard#1,5604,1.750,,,,,,,,,,5.57,119.91,27.98,105.09,0.1
08/20/2024,04:10:20 PM,Drinkard#1,5604,1.750,1190,,,196.3,33,100,5504,Producing,196.1,,,,,
10/02/2024,03:03:15 PM,Drinkard#1,5604,1.750,,,,,,,,,,4.92,118.07,78.98,103.53,67.7
10/02/2024,03:04:40 PM,Drinkard#1,5604,1.750,1206,,,286.1,131,267,5337,Producing,179.2,,,,,
03/04/2024,04:52:56 PM,Dunkle#2,6300,1.250,,,,,,,,,,4.56,85.27,25.92,74.05,10.3
03/04/2024,04:55:05 PM,Dunkle#2,6300,1.250,1078,,,218.9,622,737,5193,Producing,11.3,,,,,
03/04/2024,04:57:12 PM,Dunkle#2,6300,1.250,1089,,,0.3,1,1,6259,Producing,12.3,,,,,
08/22/2024,12:25:02 PM,Dunkle#2,6300,1.250,1096,,,19.9,57,63,6005,Producing,22.8,,,,,
10/03/2024,04:07:40 PM,Dunkle#2,6300,1.250,1084,,,8.2,,,6770,Producing,24.1,,,,,
03/04/2024,04:14:01 PM,Fatheree #1,6559,1.250,,,,,,,,,,4.63,99.01,66.21,89.11,57.5
03/04/2024,04:14:01 PM,
03/04/2024,04:16:37 PM,Fatheree #1,6559,1.250,1212,,,,3735,3735,2563,Static,31.8,,,,,
03/05/2024,12:15:32 PM,Fatheree #1,6559,1.250,,,,,,,,,,4.59,97.93,71.32,88.77,60.4
03/05/2024,12:17:22 PM,Fatheree #1,6559,1.250,1193,,,,3917,3917,2382,Static,15.2,,,,,
03/06/2024,03:49:29 PM,Fatheree #1,6559,1.250,,,,,,,,,,4.70,98.19,55.20,89.72,47.2
03/06/2024,03:51:52 PM,Fatheree #1,6559,1.250,1208,,,,3800,3800,2498,Static,15.2,,,,,
03/08/2024,09:09:13 AM,Fatheree #1,6559,1.250,,,,,,,,,,7.05,99.52,45.33,90.17,37.1
03/08/2024,09:10:58 AM,Fatheree #1,6559,1.250,1156,,,,2818,2818,3480,Static,16.5,,,,,
03/08/2024,09:21:54 AM,Fatheree #1,6559,1.250,1156,,,1010.3,2818,2818,3480,Producing,16.4,,,,,
03/08/2024,09:27:30 AM,Fatheree #1,6559,1.250,1151,,,1007.0,2810,2833,3465,Producing,16.8,,,,,
03/28/2024,02:57:43 PM,Fatheree #1,6452,1.250,,,,,,,,,,6.10,96.73,88.76,90.88,80.3
03/28/2024,02:59:25 PM,Fatheree #1,6452,1.250,1138,,,,2012,2012,4213,Static,,,,,,
03/28/2024,03:00:56 PM,Fatheree #1,6452,1.250,1137,,,410.1,1092,5321,903,Producing,25.8,,,,,
03/29/2024,12:52:17 PM,Fatheree #1,6452,1.250,,,,,,,,,,,,,,
03/29/2024,12:53:11 PM,Fatheree #1,6452,1.250,,,,,,,,,,6.12,97.93,89.86,92.43,82.0
03/29/2024,01:00:21 PM,Fatheree #1,6452,1.250,1212,,,548.6,1513,5964,261,Producing,39.6,,,,,
04/01/2024,02:04:27 PM,Fatheree #1,6452,1.250,,,,,,,,,,5.98,98.62,82.28,84.49,75.5
04/01/2024,02:06:24 PM,Fatheree #1,6452,1.250,1155,,,474.6,1282,5302,923,Producing,31.5,,,,,
04/01/2024,02:13:24 PM,Fatheree #1,6452,1.250,,,,,,,,,,7.78,103.72,94.91,99.70,87.4
04/27/2024,01:23:37 PM,Fatheree #1,6452,1.250,,,,,,,,,,5.91,99.02,88.65,91.15,83.1
04/27/2024,01:25:12 PM,Fatheree #1,6452,1.250,1214,,,489.9,1309,4745,1480,Producing,26.5,,,,,
05/22/2024,10:26:23 AM,Fatheree #1,6452,1.250,,,,,,,,,,5.94,98.82,95.21,97.36,90.3
05/22/2024,10:28:05 AM,
05/22/2024,10:28:05 AM,Fatheree #1,6452,1.250,1240,,,473.2,1269,5131,1094,Producing,29.0,,,,,
07/25/2024,01:27:51 PM,Fatheree #1,6452,1.250,,,,,,,,,,5.77,98.19,65.91,94.06,51.9
07/25/2024,04:54:26 PM,Fatheree #1,6452,1.250,1211,,,337.3,896,3531,2694,Producing,62.2,,,,,
07/25/2024,04:56:03 PM,Fatheree #1,6452,1.250,,,,,,,,,,5.82,98.78,60.92,93.12,49.7
07/25/2024,04:59:43 PM,Fatheree #1,6452,1.250,,,,,,,,,,6.23,99.08,88.23,90.58,82.3
08/20/2024,04:38:28 PM,Fatheree #1,6452,1.250,,,,,,,,,,6.62,98.66,77.52,88.92,70.2
08/20/2024,04:39:50 PM,Fatheree #1,6452,1.250,1219,,,364.0,980,4325,1900,Producing,57.6,,,,,
08/20/2024,04:46:59 PM,Fatheree #1,6452,1.250,,,,,,,,,,6.87,99.31,91.06,93.20,86.6
12/03/2024,01:35:44 PM,Fatheree #1,6452,1.250,1109,,,63.8,51,215,6129,Producing,33.3,,,,,
03/07/2024,10:05:06 AM,Flower #1,6642,1.250,964,,,20.0,,,6719,Producing,15.6,,,,,
03/07/2024,10:09:01 AM,Flower #1,6642,1.250,,,,,,,,,,4.92,85.88,9.08,65.41,-0.2
03/07/2024,10:11:45 AM,Flower #1,6642,1.250,,,,,,,,,,4.91,84.24,10.61,64.40,-0.2
03/07/2024,10:13:02 AM,Flower #1,6642,1.250,,,,,,,,,,,,,,
03/07/2024,10:13:34 AM,Flower #1,6642,1.250,,,,,,,,,,4.91,85.03,58.53,64.83,31.7
04/23/2024,01:46:21 PM,Flower #1,6642,1.250,,,,,,,,,,5.01,85.38,82.22,82.34,79.4
04/23/2024,01:48:19 PM,Flower #1,6642,1.250,892,,,34.5,38,38,6331,Producing,4.5,,,,,
04/23/2024,01:51:37 PM,Flower #1,6642,1.250,,,,,,,,,,5.01,85.34,82.55,83.97,76.9
05/01/2024,02:55:33 PM,Flower #1,6642,1.250,,,,,,,,,,4.62,84.13,60.82,64.03,31.9
05/01/2024,02:57:48 PM,Flower #1,6642,1.250,995,,,17.9,3,5,6507,Producing,19.0,,,,,
07/10/2024,11:43:20 AM,Flower #1,6642,1.250,995,,,19.6,4,5,6503,Producing,16.3,,,,,
10/09/2024,04:07:34 PM,Haby#1,0,0.000,1176,,,,,,4798,Producing,9.6,,,,,
10/18/2024,02:24:44 PM,Haby#1,0,0.000,1176,,,,,,4800,Producing,9.5,,,,,
10/18/2024,02:24:44 PM,
04/24/2024,12:09:57 PM,JBeeler #1,6331,1.750,,,,,,,,,,4.64,142.10,116.83,120.34,112.2
04/24/2024,12:12:07 PM,JBeeler #1,6331,1.750,1225,,,624.3,1298,3897,2434,Producing,31.6,,,,,
04/30/2024,11:16:35 AM,JBeeler #1,6331,1.750,,,,,,,,,,5.28,141.99,69.17,122.23,53.8
04/30/2024,11:19:20 AM,JBeeler #1,6331,1.750,1242,,,445.4,930,4486,1845,Producing,70.8,,,,,
06/12/2024,12:49:46 PM,JBeeler #1,6331,1.750,,,,,,,,,,5.12,142.34,114.49,119.51,109.8
06/12/2024,12:51:49 PM,JBeeler #1,6331,1.750,1281,,,524.7,1026,3202,3128,Producing,49.0,,,,,
06/21/2024,10:52:19 AM,JBeeler #1,6460,1.750,,,,,,,,,,6.18,142.07,68.84,124.16,34.9
06/21/2024,10:52:19 AM,
06/21/2024,11:05:16 AM,JBeeler #1,6460,1.750,1252,,,611.0,1333,3892,2567,Producing,29.5,,,,,
06/24/2024,10:42:25 AM,
06/24/2024,10:42:25 AM,JBeeler #1,6460,1.750,,,,,,,,,,6.04,143.42,92.70,97.76,88.2
06/24/2024,10:55:41 AM,JBeeler #1,6460,1.750,1266,,,495.6,1037,3270,3189,Producing,59.6,,,,,
06/25/2024,11:46:23 AM,JBeeler #1,6460,1.750,,,,,,,,,,6.60,142.87,58.03,106.57,44.2
06/25/2024,11:58:46 AM,JBeeler #1,6460,1.750,1271,,,438.2,911,3635,2824,Producing,49.0,,,,,
06/26/2024,12:09:11 PM,JBeeler #1,6460,1.750,,,,,,,,,,6.60,141.33,94.58,102.28,90.1
06/27/2024,09:57:01 AM,JBeeler #1,6460,1.750,,,,,,,,,,6.59,142.77,94.90,100.49,90.5
06/27/2024,10:08:47 AM,JBeeler #1,6460,1.750,1323,,,401.8,811,3469,2991,Producing,47.2,,,,,
06/28/2024,09:07:55 AM,JBeeler #1,6460,1.750,,,,,,,,,,,,,,
06/28/2024,09:08:05 AM,JBeeler #1,6460,1.750,,,,,,,,,,6.57,142.62,100.38,102.59,96.1
07/01/2024,11:11:49 AM,JBeeler #1,6460,1.750,,,,,,,,,,6.52,142.10,98.25,104.37,93.8
07/09/2024,11:58:29 AM,JBeeler #1,6460,1.750,,,,,,,,,,6.48,143.13,97.52,103.12,88.9
07/09/2024,12:10:23 PM,JBeeler #1,6460,1.750,1252,,,373.5,798,4256,2203,Producing,71.7,,,,,
07/26/2024,09:39:04 AM,JBeeler #1,6460,1.750,,,,,,,,,,5.75,141.91,107.19,121.65,98.6
07/26/2024,09:43:36 AM,JBeeler #1,6460,1.750,1207,,,539.6,1180,4623,1836,Producing,19.5,,,,,
08/18/2024,10:55:50 AM,JBeeler #1,6460,1.750,,,,,,,,,,5.54,142.41,90.99,96.51,86.4
08/18/2024,11:04:01 AM,JBeeler #1,6460,1.750,,,,,,,,,,,,,,
08/18/2024,11:04:09 AM,JBeeler #1,6460,1.750,,,,,,,,,,5.94,141.41,91.02,95.98,86.5
08/18/2024,11:05:57 AM,JBeeler #1,6460,1.750,1235,,,499.9,1066,3907,2552,Producing,36.8,,,,,
08/22/2024,11:49:10 AM,JBeeler #1,6460,1.750,,,,,,,,,,7.56,143.32,101.88,107.52,97.4
08/22/2024,11:50:40 AM,JBeeler #1,6460,1.750,1227,,,520.3,1082,3480,2979,Producing,25.9,,,,,
10/02/2024,10:26:09 AM,JBeeler #1,6460,1.750,,,,,,,,,,7.16,143.08,90.57,107.64,83.7
10/02/2024,10:27:59 AM,JBeeler #1,6460,1.750,1260,,,410.5,809,3269,3190,Producing,29.3,,,,,
10/02/2024,10:30:29 AM,JBeeler #1,6460,1.750,1257,,,409.8,814,3399,3060,Producing,29.5,,,,,
10/08/2024,01:44:17 PM,JBeeler #1,6460,1.750,,,,,,,,,,7.51,144.13,113.00,118.10,108.7
10/08/2024,01:45:41 PM,JBeeler #1,6460,1.750,1260,,,339.4,681,3516,2943,Producing,66.9,,,,,
10/31/2024,01:01:41 PM,JBeeler #1,6460,1.750,,,,,,,,,,8.16,144.30,108.06,124.12,96.0
03/26/2024,12:40:46 PM,Jessica#1,6693,1.250,,,,,,,,,,4.85,85.17,43.81,70.49,33.3
03/26/2024,12:44:09 PM,Jessica#1,6693,1.250,1115,,,293.3,860,860,5781,Producing,61.9,,,,,
05/23/2024,03:10:11 PM,JIC #1,6700,1.500,,,,,,,,,,5.97,103.33,19.53,88.36,-0.3
05/23/2024,03:15:54 PM,JIC #1,6700,1.500,1148,,,172.3,214,1103,5597,Producing,47.1,,,,,
06/04/2024,01:25:28 PM,JIC #1,6700,1.500,1024,,,309.9,,,6728,Producing,16.8,,,,,
06/06/2024,08:03:35 AM,JIC #1,6700,1.500,1045,,,252.6,,,6856,Producing,17.4,,,,,
06/10/2024,01:39:24 PM,JIC #1,7291,1.500,,,,,,,,,,6.63,103.30,25.48,78.70,16.6
06/10/2024,01:55:01 PM,JIC #1,7291,1.500,1157,,,156.6,453,2380,4815,Producing,63.7,,,,,
08/21/2024,12:40:31 PM,JIC #1,7291,1.500,,,,,,,,,,6.14,103.05,79.88,84.64,73.5
08/21/2024,12:42:02 PM,JIC #1,7291,1.500,1098,,,382.5,966,966,6229,Producing,54.4,,,,,
08/21/2024,12:45:01 PM,JIC #1,7291,1.500,1107,,,87.5,216,945,6251,Producing,56.1,,,,,
11/07/2024,12:14:36 PM,JIC #1,7291,1.500,,,,,,,,,,5.88,102.36,76.49,78.80,68.1
11/07/2024,12:29:56 PM,
11/07/2024,12:29:56 PM,JIC #1,7291,1.500,1083,,,307.5,909,4186,3009,Producing,46.9,,,,,
11/07/2024,12:29:56 PM,
12/17/2024,10:21:47 AM,JIC #1,7291,1.500,,,,,,,,,,4.82,102.56,35.65,64.37,24.6
12/17/2024,10:36:37 AM,JIC #1,7291,1.500,1075,,,53.6,,,7341,Producing,31.8,,,,,
05/23/2024,03:27:00 PM,JIC BUDA#1,6601,1.250,,,,,,,,,,5.96,85.17,28.68,79.67,20.0
05/23/2024,03:29:09 PM,JIC BUDA#1,6601,1.250,1141,,,80.5,31,128,6473,Producing,36.7,,,,,
07/09/2024,02:11:34 PM,JIC BUDA#1,7225,1.250,,,,,,,,,,5.81,85.61,38.91,70.56,40.4
07/09/2024,02:24:10 PM,JIC BUDA#1,7225,1.250,1160,,,149.1,412,1911,5101,Producing,29.5,,,,,
07/25/2024,05:30:15 PM,JIC BUDA#1,7225,1.250,,,,,,,,,,4.95,84.40,35.58,66.36,30.0
07/25/2024,05:31:59 PM,JIC BUDA#1,7225,1.250,1136,,,104.0,306,1333,5679,Producing,59.0,,,,,
07/25/2024,05:42:20 PM,JIC BUDA#1,7225,1.250,,,,,,,,,,7.02,83.95,58.36,73.06,54.6
03/26/2024,01:19:24 PM,JJ #1,7319,1.500,,,,,,,,,,4.74,142.52,119.99,121.64,112.4
03/26/2024,01:21:26 PM,JJ #1,7319,1.500,1254,,,943.8,2728,4802,2408,Producing,21.6,,,,,
03/27/2024,05:13:37 PM,JJ #1,7319,1.500,,,,,,,,,,5.22,143.64,118.38,121.23,110.6
03/27/2024,05:15:21 PM,JJ #1,7319,1.500,1281,,,486.8,1349,4477,2733,Producing,18.5,,,,,
04/01/2024,03:28:34 PM,JJ #1,7319,1.500,,,,,,,,,,5.33,143.76,121.24,124.21,115.3
04/01/2024,03:30:51 PM,JJ #1,7319,1.500,1256,,,579.4,1629,5186,2024,Producing,19.7,,,,,
04/01/2024,03:31:57 PM,JJ #1,7319,1.500,,,,,,,,,,5.28,143.68,120.19,123.50,114.1
04/01/2024,03:34:07 PM,JJ #1,7319,1.500,,,,,,,,,,5.04,144.08,120.90,123.81,114.6
04/01/2024,03:35:14 PM,JJ #1,7319,1.500,,,,,,,,,,4.67,143.64,120.90,124.92,114.5
04/24/2024,12:53:20 PM,JJ #1,7319,1.500,,,,,,,,,,4.99,144.34,116.98,120.19,109.3
04/24/2024,12:55:07 PM,JJ #1,7319,1.500,1301,,,579.8,1639,4572,2638,Producing,42.5,,,,,
06/12/2024,01:13:21 PM,JJ #1,7319,1.500,1322,,,,3747,3747,3463,Static,45.4,,,,,
06/13/2024,01:18:40 PM,JJ #1,7319,1.500,,,,,,,,,,5.62,143.45,122.02,124.99,115.5
06/13/2024,01:21:46 PM,JJ #1,7319,1.500,,,,,,,,,,5.71,137.90,122.27,125.72,115.9
06/13/2024,01:22:25 PM,JJ #1,7319,1.500,,,,,,,,,,5.65,143.41,121.57,125.80,114.7
06/13/2024,01:24:18 PM,JJ #1,7319,1.500,1239,,,800.1,2281,3666,3543,Producing,41.3,,,,,
06/25/2024,12:47:34 PM,JJ #1,7025,1.750,,,,,,,,,,6.20,143.59,85.86,92.51,79.8
06/25/2024,01:00:34 PM,JJ #1,7025,1.750,1384,,,391.3,1010,5077,1921,Producing,74.8,,,,,
06/26/2024,01:01:21 PM,JJ #1,7025,1.750,,,,,,,,,,6.23,143.29,89.13,92.46,82.6
06/27/2024,10:56:21 AM,JJ #1,7025,1.750,,,,,,,,,,6.32,143.80,91.79,99.88,85.8
06/27/2024,11:08:07 AM,JJ #1,7025,1.750,1323,,,433.8,1122,5055,1943,Producing,59.3,,,,,
06/28/2024,09:43:19 AM,JJ #1,7025,1.750,,,,,,,,,,6.17,143.80,92.81,95.29,85.1
07/01/2024,12:30:56 PM,JJ #1,7025,1.750,,,,,,,,,,6.23,143.60,85.02,91.02,78.8
07/10/2024,01:37:42 PM,JJ #1,7025,1.750,,,,,,,,,,4.26,146.70,79.12,86.62,71.5
07/10/2024,01:43:29 PM,JJ #1,7025,1.750,1341,,,350.5,888,4246,2753,Producing,92.9,,,,,
07/24/2024,12:07:05 PM,JJ #1,7025,1.750,,,,,,,,,,7.52,91.17,42.30,104.45,18.7
07/24/2024,12:09:21 PM,JJ #1,7025,1.750,1277,,,394.0,968,2826,4173,Producing,108.9,,,,,
07/24/2024,12:15:19 PM,JJ #1,7025,1.750,,,,,,,,,,5.15,114.46,68.89,71.33,62.2
07/24/2024,12:16:22 PM,JJ #1,7025,1.750,,,,,,,,,,5.21,119.53,72.55,72.59,65.8
07/26/2024,10:05:56 AM,JJ #1,7025,1.750,,,,,,,,,,5.35,144.09,93.32,100.32,86.4
07/26/2024,10:09:54 AM,JJ #1,7025,1.750,1261,,,792.0,2093,4147,2851,Producing,26.2,,,,,
08/18/2024,11:20:56 AM,JJ #1,7025,1.750,,,,,,,,,,3.58,146.73,72.68,76.12,64.8
08/18/2024,11:23:31 AM,JJ #1,7025,1.750,,,,,,,,,,5.47,144.13,84.74,91.50,78.2
08/18/2024,11:32:29 AM,JJ #1,7025,1.750,1308,,,423.8,1063,3897,3101,Producing,44.4,,,,,
08/22/2024,07:21:40 AM,JJ #1,7025,1.750,,,,,,,,,,4.48,144.20,78.95,83.29,71.7
