Well Name,PTN Well Name,Interest,Expire Date,Description,Page,Well Key
HARRISON #1H,,0.065735,3/26/2025,PRIMARY DECK -,31,harrison1h
HAWKEYE STATE 30 #1,,0.0675388,4/30/2019,PRIMARY AFTER P,35,hawkeyestate301
HAYES NO 1H,,0.1140465,3/26/2025,PRIMARY DECK,5,hayesno1h
HEITZ #1,,0.1,1/1/2017,PRIMARY,67,heitz1
HENRY #3,,0.0212291,9/1/2008,PRIMARY DECK,33,henry3
HENRY 24 #1,,0.121875,3/26/2025,PRIMARY AFTER D,17,henry241
HENRY 24 #2,,0.121875,3/26/2025,PRIMARY AFTER D,17,henry242
HENRY GRANDI #1,,0.0125,9/1/2008,PRIMARY DECK,82,henrygrandi1
HENRY MOORE UNIT 2-1,,0.103846,7/17/2004,PRIMARY DECK,14,henrymoore21
HEYWARD 32 STATE COM,,0.0306558,10/31/2007,PRIMARY DECK,35,heyward32statecom
HICKS #1,,0.1,10/1/2010,PRIMARY DECK,47,hicks1
HIGH,,0.0810744,12/31/2015,PRIMARY DECK,3,high
HIGHLAND #1,,0.05,12/1/2007,PRIMARY DECK,3,highland1
HILL #1,,0.055125,11/29/2018,PRIMARY DECK,59,hill1
HILMAR #1,,0.061295,11/30/2005,APO PRIMARY DEC,56,hilmar1
HILMAR #2,,0.05,5/31/2018,PRIMARY DECK,56,hilmar2
HOLD,,0.064175,3/26/2025,PRIMARY DECK,63,hold
HOLLAND #1,,0.0652153,8/16/2006,PRIMARY DECK,10,holland1
HOUSE #1,,0.085,9/22/2014,PRIMARY DECK,65,house1
HUBER #1,,0.0319474,3/26/2025,PRIMARY DECK,21,huber1
HUDSON HORNETT #1 SW,,0.0183335,3/26/2025,PRIMARY DECK,9,hudsonhornett1sw
HUFFMAN UNIT 1RE,,0.05,3/26/2025,PRIMARY W ENERG,74,huffman1re
HUMPHRIES #1,,0.103846,10/14/2004,PRIMARY DECK,10,humphries1
HUNTINGTON A #2,,0.05,12/7/2006,PRIMARY DECK,57,huntingtona2
HUNTINGTON C #4,,0.05,12/7/2006,PRIMARY DECK,57,huntingtonc4
HUTTO #2H,,0.0012593,10/1/2014,PRIMARY DECK,32,hutto2h
INDI,,0.0343978,8/31/2012,PRIMARY W/CHK,68,indi
IOLA SWD #1,,0.07,8/23/2007,PRIMARY DECK,45,iolaswd1
IVY #1,,0.051601,12/31/2015,PRIMARY DECK,57,ivy1
IVY 4 STATE #1,,0.1075,3/26/2025,PRIMARY DECK,44,ivy4state1
J BEELER #1,,0.0785,3/26/2025,PRIMARY AFTER E,67,jbeeler1
JA CLARK #2A,,0.17,5/1/2008,PRIMARY DECK,26,jaclark2a
JA HALEY 43 2,,0.0486814,2/28/2010,PRIMARY DECK,17,jahaley432
JACK 1,,0.13,2/5/2018,PRIMARY DECK,15,jack1
JACKSON,,0.04,9/30/2008,PRIMARY DECK,59,jackson
JAKE #1,,0.07,9/18/2007,PRIMARY DECK,45,jake1
JESSICA #1,,0.064175,3/26/2025,PRIMARY DECK,81,jessica1
JETERO #1,,0.0319474,1/1/2011,PRIMARY DECK,22,jetero1
JETERO BOOTH 10,,0.05,3/26/2025,PRIMARY W ENERG,74,jeterobooth10
JF COOPER 19 ST #1,,0.025,5/31/2018,PRIMARY DECK,35,jfcooper19st1
JFC 25 State #1,,0.0572517,5/31/2012,PRIMARY DECK,38,jfc25state1
JIC #1,,0.0619572,3/26/2025,PRIMARY DECK,75,jic1
JIC BUDA #1,,0.1138921,3/26/2025,PRIMARY DECK,76,jicbuda1
JJ #1,,0.0628353,3/26/2025,PRIMARY AFTER E,67,jj1
JOE #1,,0.0469991,3/26/2025,PRIMARY DECK,21,joe1
JOHN B #1,,0.1345367,10/15/2010,PRIMARY DECK,15,johnb1
JOHN UNIT WATERFLOOD,,0.0962211,3/26/2025,PRIMARY DECK HO,15,johnwaterflood
JOSEPH #1,,0.064175,2/20/2019,PRIMARY,82,joseph1
JRED,,0.064175,3/26/2025,PRIMARY DECK,59,jred
JRED #1,,0.064175,3/26/2025,PRIMARY DECK,59,jred1
JUWF #12,,0.0962211,12/31/2008,PRIMARY DECK,15,juwf12
JUWF #17,,0.0962211,3/26/2025,PRIMARY DECK HO,15,juwf17
JUWF #27,,0.0962211,3/26/2025,PRIMARY DECK HO,15,juwf27
JUWF #28,,0.0962211,3/26/2025,PRIMARY DECK HO,15,juwf28
KAGG #1,,0.1275,3/26/2025,PRIMARY DECK,46,kagg1
KATHLEEN VERA #1,,0.05,6/15/2022,PRIMARY DECK,60,kathleenvera1
KAY #1,,0.0429606,3/26/2025,PRIMARY,24,kay1
KERN 2-H,,0.0096444,2/4/2010,PRIMARY DECK,3,kern2h
KILEY #1,,0.064175,3/26/2025,PRIMARY DECK,81,kiley1
KIM 18 #2,,0.105,3/26/2025,PRIMARY DECK HO,15,kim182
KIM 18 #3,,0.105,3/26/2025,PRIMARY DECK HO,16,kim183
KIM 18 #5 INJ,,0.105,3/26/2025,PRIMARY DECK HO,16,kim185inj
KIMBLE #1,,0.064175,12/31/2016,PRIMARY DECK,26,kimble1
KINDT UNIT #2-1,,0.103846,1/1/2001,PRIMARY DECK,10,kindt21
KINDT UNIT 2-3,,0.103846,8/10/2007,PRIMARY DECK,14,kindt23
KIRBY #1,,0.0572807,3/26/2025,PRIMARY DECK RE,23,kirby1
KLEIMANN #1,,0.0519032,3/26/2025,PRIMARY BPO,24,kleimann1
KLEIMANN #3,,0.0429606,6/30/2024,PRIMARY,24,kleimann3
KLEIMANN GAS GATHERI,,0.0519032,3/26/2025,PRIMARY BPO,24,kleimanngasgatheri
KNOT2,,0.0808417,1/2/2013,PRIMARY DECK,60,knot2
KODIAK #1,,0.0125,9/1/2008,PRIMARY DECK,82,kodiak1
KOONSMAN 5 #1,,0.1383335,3/31/2015,PRIMARY DECK,16,koonsman51
KOONSMAN 677 #1,,0.1383335,3/26/2025,PRIMARY DECK,16,koonsman6771
KOONSMAN 677 #2,,0.1383335,3/26/2025,PRIMARY DECK,16,koonsman6772
KRESTA #1,,0.0973154,3/11/2015,PRIMARY DECK,47,kresta1
KUJAWA #1,,0.05,10/31/2007,PRIMARY DECK,57,kujawa1
KUJAWA UNIT #1X,,0.05,7/29/2010,PRIMARY DECK,58,kujawa1x
KURT,,0.103846,3/26/2025,PRIMARY AFTER V,9,kurt
LA ROSITA #1,,0.064175,8/3/2023,PRIMARY DECK,71,larosita1
LACINA UNIT,,0.06625,1/1/2014,PRIMARY DECK,46,lacina
LAH #1,,0.125,1/1/2017,PRIMARY,66,lah1
"LAMB #1 (SLACK #1,LU",,0.1,3/26/2025,PRIMARY DECK,76,"lamb1(slack1,lu"
LANDER #1,,0.070626,3/26/2025,PRIMARY N/C,82,lander1
LANSFORD #1,,0.05134,5/3/2019,PRIMARY DECK,65,lansford1
LAPR,,0.064175,1/1/2016,PRIMARY,67,lapr
LASA,,0.1119583,8/1/2012,PRIMARY DECK,66,lasa
LASC,,0.064175,3/26/2025,PRIMARY DECK,27,lasc
LASTLY #1,,0.06625,5/1/2016,PRIMARY DECK,7,lastly1
LASTLY #3 (NAME PEND,,0.06625,5/1/2016,PRIMARY DECK,7,lastly3(namepend
LEARY TRUST #1,,0.0399342,9/30/2021,PRIMARY DECK,21,learytrust1
LICO #1,,0.0399342,12/31/2016,APO PRIMARY DEC,20,lico1
LISA #1,,0.053052,2/10/2019,PRIMARY DECK,80,lisa1
LITTLE 179 1H,,0.0657905,3/26/2025,ACP PRIMARY DEC,61,little1791h
LLB 15 #1,,0.0765,3/26/2025,PRIMARY DECK,63,llb151
LLB 21 #1,,0.0765,6/29/2020,PRIMARY DECK,63,llb211
LOCHTE #1,,0.1,3/26/2025,PRIMARY,77,lochte1
LONG,,0.07875,8/1/2012,PRIMARY DECK,63,long
LOTT 1H,,0.07625,3/26/2025,PRIMARY,32,lott1h
LOTT DAVIS #1,,0.1125,1/24/2018,PRIMARY DECK,16,lottdavis1
LOTTIE #1,,0.05,5/31/2018,PRIMARY DECK,57,lottie1
LOTTIE #2,,0.0725903,1/1/2001,PRIMARY DECK,57,lottie2
LOWE,,0.0528353,6/30/2010,PRIMARY DECK,61,lowe
LPB UNIT #1,,0.03,12/1/2008,PRIMARY DECK,3,lpb1
LYNE #1,,0.09,5/1/2013,PRIMARY DECK,44,lyne1
MADIS,,0.07625,3/26/2025,PRIMARY DECK,28,madis
MALJ2,,0.0627125,3/26/2025,PRIMARY AFTER V,44,malj2
MALJAMAR CISCO WATER,,0.0776055,3/26/2025,PRIMARY WF,44,maljamarciscowater
MANN TRUST #1,,0.145,4/6/2011,PRIMARY DECK,8,manntrust1
MARGUERITE #1,,0.0481312,7/5/2018,PRIMARY DECK,26,marguerite1
MARRS #1,,0.1198091,11/2/2021,PRIMARY DECK,76,marrs1
MARRS #1 DO NOT USE,,0.064175,12/31/2010,PRIMARY DECK,75,marrs1donotuse
MARTIN 11 STATE #1,,0.0776055,3/26/2025,PRIMARY WF,41,martin11state1
MARTIN UNIT #1,,0.06625,11/14/2014,PRIMARY DECK,7,martin1
MATULA #1,,0.1,10/1/2010,PRIMARY DECK,47,matula1
MCFARLANE #1,,0.08,9/30/2008,PRIMARY DECK,62,mcfarlane1
MCLEAN #1,,0.0239605,5/31/2018,APO NPI PRIMARY,20,mclean1
MDB (AC),,0.0674245,3/26/2025,PRIMARY REVISED,25,mdb(ac)
MELTON #1,,0.136022,4/25/2014,PRIMARY DECK,16,melton1
MELVIN #1,,0.1275,12/31/2016,PRIMARY DECK,4,melvin1
MERLAND #2,,0.0078125,9/1/2008,PRIMARY DECK,33,merland2
MILL,,0.1,2/28/2011,PRIMARY DECK,66,mill
MILLER FEDERAL #2,,0.048875,1/1/2019,APO PRIMARY DEC,6,millerfederal2
MOHICAN 28 STATE #1,,0.05,5/31/2018,PRIMARY DECK,35,mohican28state1
MOLAK #1,,0.064175,2/6/2022,PRIMARY DECK,85,molak1
MONT1,,0.03,12/31/2015,PRIMARY DECK,9,mont1
MONTEMAYOR #1,,0.064175,3/26/2025,PRIMARY DECK,26,montemayor1
MOORE #10 SWD CL,,0.0533125,3/26/2025,PRIMARY DECK,54,moore10swdcl
MOORE #12U CL,,0.0632306,3/26/2025,PRIMARY DECK,54,moore12ucl
MOORE #13 CL,,0.059736,5/31/2018,APO PRIMARY DEC,54,moore13cl
MOORE #2 CL SWD,,0.059736,5/31/2018,APO PRIMARY DEC,53,moore2clswd
MOORE #5 CL,,0.059736,5/31/2018,APO PRIMARY DEC,53,moore5cl
MOORE #6 CL,,0.0854427,3/26/2025,PRIMARY DECK,53,moore6cl
MOORE #7 CL,,0.062236,3/26/2025,PRIMARY DECK,53,moore7cl
MOORE #8 CL,,0.0666085,3/26/2025,PRIMARY DECK,53,moore8cl
MOORE #9 CL,,0.082566,3/26/2025,PRIMARY DECK,54,moore9cl
MOORE JM #119,,0.0725903,5/31/2018,APO PRIMARY DEC,50,moorejm119
MOORE JM #124,,0.0725903,2/1/2009,APO PRIMARY DEC,50,moorejm124
MOORE JM #134,,0.0725903,11/13/2016,APO PRIMARY -,50,moorejm134
MOORE JM #139,,0.0725903,5/31/2018,APO PRIMARY DEC,50,moorejm139
MOORE JM #149,,0.0725903,5/31/2018,APO PRIMARY DEC,50,moorejm149
MOORE JM #155,,0.0725903,5/31/2018,APO PRIMARY DEC,51,moorejm155
MOORE JM #159,,0.0725903,5/31/2018,APO PRIMARY DEC,51,moorejm159
MOORE JM #163,,0.0725903,5/31/2018,APO PRIMARY DEC,51,moorejm163
MOORE JM #174,,0.0725903,5/31/2018,APO PRIMARY DEC,51,moorejm174
MOORE JM #176,,0.0725903,5/31/2018,APO PRIMARY DEC,51,moorejm176
MOORE JM #178,,0.0725903,5/31/2018,APO PRIMARY DEC,51,moorejm178
MOORE JM #180,,0.0725903,5/31/2018,APO PRIMARY DEC,51,moorejm180
MOORE JM #182,,0.0725903,5/31/2018,APO PRIMARY DEC,51,moorejm182
MOORE JM #189,,0.0725903,5/31/2018,APO PRIMARY DEC,51,moorejm189
MOORE JM #191,,0.0725903,5/31/2018,APO PRIMARY DEC,51,moorejm191
MOORE JM #192,,0.0725903,5/31/2018,APO PRIMARY DEC,51,moorejm192
MOORE JM #193,,0.0725903,5/31/2018,APO PRIMARY DEC,51,moorejm193
MOORE JM #197,,0.0725903,12/4/2016,APO PRIMARY DEC,51,moorejm197
MOORE JM #198,,0.0725903,5/31/2018,APO PRIMARY DEC,51,moorejm198
MOORE JM #199,,0.0725903,5/31/2018,APO PRIMARY DEC,51,moorejm199
MOORE JM #202,,0.0725903,5/31/2018,APO PRIMARY DEC,52,moorejm202
MOORE JM #204,,0.0725903,5/31/2018,APO PRIMARY DEC,52,moorejm204
MOORE JM #206,,0.0725903,5/31/2018,APO PRIMARY DEC,52,moorejm206
MOORE JM #207,,0.0725903,5/31/2018,APO PRIMARY DEC,52,moorejm207
MOORE JM #208,,0.0725903,5/31/2018,APO PRIMARY DEC,52,moorejm208
MOORE JM #213,,0.0725903,5/31/2018,APO PRIMARY DEC,52,moorejm213
MOORE JM #214,,0.0725903,5/31/2018,APO PRIMARY DEC,52,moorejm214
MOORE JM #215,,0.0725903,5/31/2018,APO PRIMARY DEC,52,moorejm215
MOORE JM #216,,0.0725903,5/31/2018,APO PRIMARY DEC,52,moorejm216
MOORE JM #218,,0.0725903,5/31/2018,APO PRIMARY DEC,52,moorejm218
MOORE JM #219,,0.0725903,1/6/2015,APO PRIMARY DEC,52,moorejm219
MOORE JM #43,,0.0725903,5/31/2018,APO PRIMARY DEC,49,moorejm43
MOORE JM #49,,0.0725903,5/31/2018,APO PRIMARY DEC,49,moorejm49
MOORE JM #58,,0.0725903,5/31/2018,APO PRIMARY DEC,49,moorejm58
MOORE JM #66,,0.0725903,5/31/2018,APO PRIMARY DEC,49,moorejm66
MOORE JM #67,,0.0725903,5/31/2018,APO PRIMARY DEC,49,moorejm67
MOORE JM #70,,0.0725903,5/31/2018,APO PRIMARY DEC,49,moorejm70
MOORE JM #78,,0.0725903,5/31/2018,APO PRIMARY DEC,50,moorejm78
MOORE JM #83,,0.0725903,5/31/2018,APO PRIMARY DEC,50,moorejm83
MOORE JM #84,,0.0725903,5/31/2018,APO PRIMARY DEC,50,moorejm84
MOORE JM #85 SWD,,0.0725903,12/11/2016,APO PRIMARY DEC,50,moorejm85swd
MOORE JM #89,,0.0725903,5/31/2018,APO PRIMARY DEC,50,moorejm89
MOORE JM #92 SWD,,0.0725903,5/31/2018,APO PRIMARY DEC,50,moorejm92swd
MOORE JM #93,,0.0725903,8/9/2010,APO PRIMARY DEC,50,moorejm93
MOORE JM #99,,0.0725903,5/31/2018,APO PRIMARY DEC,50,moorejm99
MOORE LEASE - CARTER,,0.059736,5/31/2018,APO PRIMARY DEC,53,mooreleasecarter
MOORO,,0.05,11/1/2007,PRIMARY DECK,54,mooro
MORELAND #1,,0.0429972,3/26/2025,PRIMARY DECK,70,moreland1
MOTH,,0.125,11/30/2013,PRIMARY DECK,48,moth
MUELLER #1,,0.05,5/31/2018,PRIMARY DECK,57,mueller1
MULESHOE RANCH 1,,0.0183335,3/26/2025,PRIMARY,9,muleshoeranch1
MUNOZ #1,,0.025,9/1/2008,PRIMARY DECK,4,munoz1
MUST1,,0.0241062,6/30/2012,PRIMARY DECK,48,must1
MUSTANG RANCH #1,,0.064175,1/1/2017,PRIMARY,67,mustangranch1
NATHANIEL 29 STATE #,,0.016665,7/1/2007,PRIMARY DECK,36,nathaniel29state
NEEA,,0.1,3/26/2025,PRIMARY,78,neea
NELL HARRISON 14 #1,,0.0438379,2/28/2010,PRIMARY DECK,18,nellharrison141
NELS,,0.0377765,8/31/2015,PRIMARY W/CHK,63,nels
NEME,,0.06625,5/1/2016,PRIMARY DECK,6,neme
NEWTON 28 #1 SWD,,0.0816062,3/26/2025,PRIMARY DECK CM,18,newton281swd
NEWTON 38 -1,,0.07875,1/1/2010,PRIMARY DECK,18,newton381
NICHOLS #1,,0.0553125,3/26/2025,PRIMARY DECK,5,nichols1
NICHOLS #3,,0.0553125,3/26/2025,PRIMARY DECK,6,nichols3
NICHOLS #4,,0.0553125,8/25/2011,PRIMARY DECK,6,nichols4
NITA,,0.0176666,12/31/2015,PRIMARY DECK,8,nita
NOLL,,0.1,3/31/2023,PRIMARY DECK,7,noll
NORTH,,0.0348601,8/1/2012,PRIMARY W/CHK,78,north
NORTH TWINBERRY 5 ST,,0.0125,5/31/2018,PRIMARY DECK,37,northtwinberry5st
NORTHCISCO,,0.1075,3/26/2025,PRIMARY DECK LE,44,northcisco
NORTHW,,0.1279166,6/30/2019,PRIMARY DECK,9,northw
NUCHE 1H,,0.07625,3/26/2025,PRIMARY,32,nuche1h
NUECES #1,,0.064175,12/31/2010,PRIMARY DECK,75,nueces1
NURS,,0.08,9/30/2012,PRIMARY DECK,61,nurs
OLDE,,0.063393,12/31/2015,PRIMARY DECK,3,olde
OPA #1,,0.037389,8/1/2012,PRIMARY DECK,70,opa1
OTIS 33 #2,,0.0117187,9/1/2008,PRIMARY DECK,82,otis332
OTIS 33 #3,,0.0234375,9/1/2008,PRIMARY DECK,82,otis333
OWEN #2,,0.06625,1/2/2013,PRIMARY DECK,7,owen2
PADDY 13 STATE #1,,0.0523193,1/31/2011,PRIMARY DECK,36,paddy13state1
PADDY 13 STATE #2,,0.1507511,5/31/2018,PRIMARY,43,paddy13state2
PADDY 15 ST #1,,0.0649745,5/31/2018,PRIMARY DECK,38,paddy15st1
PADDY 18 STATE #1,,0.0622915,5/31/2018,PRIMARY DECK,37,paddy18state1
PADDY 18 STATE #2,,0.083791,5/31/2018,PRIMARY DECK,39,paddy18state2
PADDY 18 STATE #3,,0.0676195,7/12/2011,PRIMARY DECK,39,paddy18state3
PADDY 19 ST #1,,0.0502765,5/31/2018,BPO PRIMARY DEC,38,paddy19st1
PADDY 19 STATE #2,,0.025,5/31/2018,PRIMARY DECK,38,paddy19state2
PADDY 19 STATE #3,,0.025,5/31/2018,PRIMARY DECK,39,paddy19state3
PADDY 19 STATE #4,,0.076165,5/31/2018,PRIMARY DECK,39,paddy19state4
PADDY 19 STATE #5,,0.076165,11/30/2010,PRIMARY DECK,39,paddy19state5
PADDY 24 FED #1,,0.051691,5/31/2018,PRIMARY DECK,36,paddy24fed1
PADDY 27 STATE #1,,0.025,1/1/2005,PRIMARY DECK,36,paddy27state1
PALM,,0.0365303,3/26/2025,PRIMARY W/OUT O,19,palm
PALM #1,,0.0623771,3/26/2025,PRIMARY BPO,23,palm1
PALM CATTLE #1,,0.0399342,6/30/2010,PRIMARY DECK,21,palmcattle1
PARKS 677 #1 SWD,,0.1383335,3/26/2025,PRIMARY DECK,9,parks6771swd
PARRIS #1 (FORMERLY,,0.085,1/1/2009,PRIMARY DECK,66,parris1(formerly
PAVELOCK 1H,,0.020331,10/1/2014,PRIMARY DECK,31,pavelock1h
PC #1,,0.0572807,3/26/2025,PRIMARY DECK,23,pc1
PEACEKEEPER #1,,0.0155949,9/1/2008,PRIMARY DECK,15,peacekeeper1
PEACH,,0.095,1/3/2011,PRIMARY DECK,44,peach
PEAR,,0.121875,1/2/2010,PRIMARY DECK,17,pear
PERR,,0.1125,1/1/2001,PRIMARY DECK,9,perr
PERRY #1,,0.2245837,6/30/2008,PRIMARY DECK,58,perry1
PETERS EE A #1,,0.1666666,11/18/2020,PRIMARY DECK CM,14,peterseea1
PETERS EE A #2,,0.1666666,3/26/2025,PRIMARY DECK CM,14,peterseea2
PETERS EE A #4,,0.1666666,3/26/2025,PRIMARY DECK CM,14,peterseea4
PFEI,,0.064175,3/26/2025,PRIMARY DECK (V,75,pfei
PFEIFFER #1,,0.064175,3/26/2025,PRIMARY DECK,80,pfeiffer1
PFEIFFER #1 RE,,0.064175,3/26/2025,PRIMARY DECK,27,pfeiffer1re
PFEIFFER 2RE,,0.064175,8/3/2023,PRIMARY DECK,28,pfeiffer2re
PICKENS #1,,0.05134,3/26/2025,PRIMARY DECK,79,pickens1
PICKENS 2H,,0.0481312,2/5/2019,PRIMARY DECK,27,pickens2h
PICKENS-WEAVER #1,,0.062286,3/26/2025,PRIMARY,82,pickensweaver1
PICKWILL #1,,0.0579784,3/26/2025,PRIMARY DECK,80,pickwill1
PIERCE RANCH #2,,0.1,10/1/2010,PRIMARY DECK,47,pierceranch2
PIERCE RANCH #3,,0.1,8/27/2014,PRIMARY DECK,47,pierceranch3
PIERCE RANCH #4,,0.0841307,9/15/2013,PRIMARY DECK,64,pierceranch4
POST OAK #1,,0.1021108,3/26/2025,PRIMARY DECK,60,postoak1
PP FRIO #16,,0.112405,6/1/2009,PRIMARY DECK,1,ppfrio16
PP FRIO #8,,0.112405,6/1/2009,PRIMARY DECK ON,1,ppfrio8
PP3D,,0.0544642,6/1/2009,PRIMARY DECK,1,pp3d
PRATKA #1,,0.076,3/26/2025,PRIMARY DECK,9,pratka1
PRESTAGE #1,,0.0399342,5/31/2009,PRIMARY DECK,20,prestage1
PRESTON #1,,0.0455794,1/1/2015,PRIMARY NO USE,23,preston1
PRITCHETT #1,,0.0357681,5/28/2020,PRIMARY DECK,22,pritchett1
QUOT,,0.1012498,12/31/2015,PRIMARY DECK,14,quot
RAB #1,,0.07,3/26/2025,PRIMARY DECK,68,rab1
RAB #2,,0.07,3/26/2025,PRIMARY DECK W,68,rab2
RAB #3,,0.0709456,3/26/2025,PRIMARY DECK,68,rab3
RAFTER C #1,,0.125,1/1/2019,PRIMARY,66,rafterc1
RAIDER 9 STATE #1,,0.0776055,3/26/2025,PRIMARY WF,43,raider9state1
RAIDER 9 STATE #2,,0.076212,5/31/2018,PRIMARY,43,raider9state2
RAIDER 9 STATE #3,,0.0776055,3/26/2025,PRIMARY WF,44,raider9state3
RBR #1,,0.0032087,8/9/2018,PRIMARY DECK -,83,rbr1
RBR #2,,0.0053553,1/2/2017,PRIMARY,83,rbr2
REDD STATE #1,,0.068125,8/1/2006,PRIMARY DECK,46,reddstate1
REED ESTATE 27 #2,,0.05,10/31/2007,PRIMARY DECK,18,reedestate272
REED ESTATE 27 #3,,0.0595652,2/28/2010,PRIMARY DECK,18,reedestate273
REMINGTON 1H,,0.0394456,10/1/2014,PRIMARY DECK (D,31,remington1h
RICHARD #1,,0.0581909,3/26/2025,PRIMARY AFTER E,27,richard1
RICHARDSON #1,,0.05134,3/26/2025,PRIMARY DECK,72,richardson1
RIO NUECES #1,,0.0517282,3/26/2025,PRIMARY DECK,22,rionueces1
ROBB,,0.145,4/30/2011,PRIMARY DECK,8,robb
ROCK,,0.095,8/1/2012,PRIMARY DECK,66,rock
ROGERS #1,,0.009375,9/1/2008,PRIMARY DECK,82,rogers1
RONALD #1,,0.0613406,3/26/2025,PRIMARY DECK,80,ronald1
ROONEY #1,,0.08,6/4/2019,PRIMARY DECK,17,rooney1
ROSENBLATT #1,,0.112405,6/1/2009,PRIMARY DECK,1,rosenblatt1
ROSENBLATT #2,,0.112405,6/1/2009,PRIMARY DECK,2,rosenblatt2
ROSENBLATT #3,,0.112405,6/1/2009,PRIMARY DECK,2,rosenblatt3
RUEN #1,,0.1275,3/26/2025,PRIMARY DECK,4,ruen1
RUEN #2,,0.1275,3/26/2025,PRIMARY DECK,4,ruen2
RUEN #3,,0.1275,3/26/2025,PRIMARY DECK,5,ruen3
RUETHER UNIT #1,,0.077857,11/1/2007,PRIMARY DECK,5,ruether1
RUNNING SHOE STATE #,,0.0079687,9/1/2008,PRIMARY DECK (A,33,runningshoestate
RUSSELL #1 (DO NOT U,,0.064175,12/31/2010,PRIMARY DECK,75,russell1(donotu
RUTH #1,,0.05134,9/30/2023,PRIMARY DECK,72,ruth1
RUTHPICK #1,,0.0552836,3/26/2025,PRIMARY DECK,81,ruthpick1
RYAN #2,,0.0082044,9/1/2008,PRIMARY DECK (A,33,ryan2
SANC,,0.02567,12/31/2015,PRIMARY W/CHK,14,sanc
SANCHEZ #1,,0.064175,3/31/2011,PRIMARY DECK,64,sanchez1
SANSOM #1,,0.0999537,3/26/2025,PRIMARY,76,sansom1
SCHE,,0.1,11/30/2007,PRIMARY DECK,54,sche
SEITEL,,0.08,8/1/2012,PRIMARY DECK,58,seitel
SEITELC,,0.08,3/26/2025,PRIMARY DECK,17,seitelc
SEITELL,,0.08,3/31/2011,PRIMARY DECK,17,seitell
SEVE,,0.068125,4/30/2016,PRIMARY DECK,46,seve
SHAN,,0.125,1/2/2015,PRIMARY,66,shan
SHANNON CF #1,,0.125,1/1/2018,PRIMARY,66,shannoncf1
SHANNON ESTATE 344 #,,0.125,7/1/2020,PRIMARY,66,shannonestate344
SHIFLET #1,,0.07625,12/31/2016,PRIMARY DECK,29,shiflet1
SHUGART FED 13 #1,,0.015625,9/1/2008,PRIMARY DECK,17,shugartfed131
SIBL,,0.090604,1/1/2001,PRIMARY DECK,78,sibl
SIBLEY #1,,0.030857,1/1/2001,PRIMARY DECK,78,sibley1
SIBLEY #1-X,,0.030125,9/24/2007,PRIMARY DECK,78,sibley1x
SIEVERS #1,,0.08,5/18/2013,PRIMARY DECK,62,sievers1
SKEEN #2,,0.0079101,9/1/2008,PRIMARY DECK,82,skeen2
SLAUGHTER 2 SWD INJ,,0.1180219,4/7/2015,PRIMARY DECK,16,slaughter2swdinj
SLAUGHTER B #1,,0.15,3/26/2025,PRIMARY DECK,16,slaughterb1
SLAUGHTER B #2,,0.15,3/26/2025,PRIMARY DECK,16,slaughterb2
SLAUGHTER B 5X INJ,,0.15,3/26/2025,PRIMARY DECK,16,slaughterb5xinj
SMITH,,0.08,3/31/2023,PRIMARY DECK,78,smith
SNYD,,0.135,12/31/2016,PRIMARY DECK,25,snyd
SOLANSKY #1,,0.05134,3/26/2025,PRIMARY DECK,7,solansky1
SOME,,0.06625,1/1/2012,PRIMARY DECK,46,some
SOUTH,,0.0797426,3/26/2025,PRIMARY DECK,59,south
STANGE #1-D,,0.0760747,8/31/2023,PRIMARY DECK,63,stange1d
STEPHEN #1,,0.08,3/26/2008,PRIMARY DECK,62,stephen1
STEPHENS COM #2,,0.0079215,9/1/2008,APO PRIMARY DEC,33,stephenscom2
STEPHENS COM #A2,,0.0105407,9/1/2008,PRIMARY DECK,33,stephenscoma2
STG,,0.1325,3/26/2025,PRIMARY DECK,16,stg
STILLWAGON #1H,,0.0190625,8/1/2012,PRIMARY GROUP,31,stillwagon1h
STILLWAGON #2H,,0.0190625,3/26/2025,PRIMARY,32,stillwagon2h
STILLWAGON #3H,,0.0190625,3/26/2025,PRIMARY,32,stillwagon3h
STILLWAGON #3H (DO N,,0.0190625,1/1/2014,PRIMARY,27,stillwagon3h(don
STILLWAGON 4H,,0.0190625,3/26/2025,PRIMARY,32,stillwagon4h
STONE #1,,0.110625,1/10/2018,PRIMARY DECK,5,stone1
STRAIT #1,,0.064175,8/1/2012,PRIMARY DECK,64,strait1
STS #2,,0.135,12/31/2009,PRIMARY DECK,26,sts2
STS NO. 1D (INGRAM M,,0.135,1/1/2010,PRIMARY DECK,25,stsno.1d(ingramm
SUGA,,0.1,3/26/2025,PRIMARY REVISED,67,suga
SUGAR RANCH #1,,0.1,3/26/2025,PRIMARY DECK,67,sugarranch1
SUGARLAND #1,,0.0696677,3/26/2025,PRIMARY DECK,71,sugarland1
SUMMIT DRAKE FARMOUT,,0.07625,9/30/2010,PRIMARY DECK,29,summitdrakefarmout
SUNRAY BOWERS #1,,0.064175,11/1/2007,PRIMARY DECK CM,71,sunraybowers1
SUTTON #2,,0.1115625,3/26/2025,PRIMARY DECK,4,sutton2
SUZANNE #1,,0.06625,12/31/2012,PRIMARY DECK,7,suzanne1
SVIRG,,0.08,11/30/2009,PRIMARY DECK,13,svirg
SWEL,,0.020536,9/30/2010,PRIMARY W/CHK,78,swel
